edition,year,Winner Name,Distance,time_overall,Height,Weight,Winner Nationality,Average Speed of Winner,Year Range
1,1903,Maurice Garin,2428.0,94.55388888888888,1.62,60.0, France,25.6784784690682,1900-1929
2,1904,Henri Cornet,2428.0,96.09861111111113,,, France,25.265713748897973,1900-1929
3,1905,Louis Trousselier,2994.0,,,, France,25.33559725349504,1900-1929
4,1906,René Pottier,4637.0,,,, France,25.33559725349504,1900-1929
5,1907,Lucien Petit-Breton,4488.0,,,, France,25.33559725349504,1900-1929
6,1908,Lucien Petit-Breton,4497.0,,,, France,25.33559725349504,1900-1929
7,1909,François Faber,4498.0,,1.78,88.0, Luxembourg,25.33559725349504,1900-1929
8,1910,Octave Lapize,4734.0,,,, France,25.33559725349504,1900-1929
9,1911,Gustave Garrigou,5343.0,,,, France,25.33559725349504,1900-1929
10,1912,Odile Defraye,5289.0,,,, Belgium,25.33559725349504,1900-1929
11,1913,Philippe Thys,5287.0,197.9,,, Belgium,26.715512885295603,1900-1929
12,1914,Philippe Thys,5380.0,200.48,,, Belgium,26.835594573024743,1900-1929
13,1919,Firmin Lambot,5560.0,231.1208333333333,,, Belgium,24.05668030791974,1900-1929
14,1920,Philippe Thys,5503.0,228.6036111111111,,, Belgium,24.07223566265236,1900-1929
15,1921,Léon Scieur,5485.0,221.84055555555562,,, Belgium,24.724965127606655,1900-1929
16,1922,Firmin Lambot,5375.0,222.135,,, Belgium,24.19699732144867,1900-1929
17,1923,Henri Pélissier,5386.0,222.25833333333333,,, France,24.2330621274043,1900-1929
18,1924,Ottavio Bottecchia,5425.0,226.3058333333333,,, Italy,23.971984814060622,1900-1929
19,1925,Ottavio Bottecchia,5440.0,219.17166666666665,,, Italy,24.82072652334928,1900-1929
20,1926,Lucien Buysse,5745.0,238.74027777777775,,, Belgium,24.063807135834505,1900-1929
21,1927,Nicolas Frantz,5398.0,198.2783333333333,,, Luxembourg,27.224356334109462,1900-1929
22,1928,Nicolas Frantz,5476.0,192.81611111111116,,, Luxembourg,28.40011640336647,1900-1929
23,1929,Maurice De Waele,5286.0,186.65416666666667,,, Belgium,28.31975355492555,1900-1929
24,1930,André Leducq,4822.0,172.2044444444444,,, France,28.00160016517835,1930-1959
25,1931,Antonin Magne,5091.0,177.1675,,, France,28.735518647607492,1930-1959
26,1932,André Leducq,4479.0,154.19694444444445,,, France,29.047268194174475,1930-1959
27,1933,Georges Speicher,4395.0,147.86027777777778,,, France,29.724007461999598,1930-1959
28,1934,Antonin Magne,4470.0,147.23277777777778,,, France,30.360087389960718,1930-1959
29,1935,Romain Maes,4338.0,141.38333333333333,,, Belgium,30.68254155369563,1930-1959
30,1936,Sylvère Maes,4442.0,142.79222222222222,,, Belgium,31.108136920000312,1930-1959
31,1937,Roger Lapébie,4415.0,138.97527777777782,,, France,31.768240154623815,1930-1959
32,1938,Gino Bartali,4694.0,148.48666666666662,1.72,66.0, Italy,31.61226597225341,1930-1959
33,1939,Sylvère Maes,4224.0,132.05472222222224,,, Belgium,31.98673950403557,1930-1959
34,1947,Jean Robic,4642.0,148.1902777777778,1.61,60.0, France,31.324592069130336,1930-1959
35,1948,Gino Bartali,4922.0,147.17666666666662,1.72,66.0, Italy,33.44280116866352,1930-1959
36,1949,Fausto Coppi,4808.0,149.68027777777775,1.77,68.0, Italy,32.12180035594388,1930-1959
37,1950,Ferdinand Kübler,4773.0,145.61555555555555,,,  Switzerland,32.77809147374365,1930-1959
38,1951,Hugo Koblet,4690.0,142.33722222222227,,,  Switzerland,32.94991940110925,1930-1959
39,1952,Fausto Coppi,4898.0,151.95555555555555,1.77,68.0, Italy,32.23310909622697,1930-1959
40,1953,Louison Bobet,4476.0,129.39027777777778,1.79,75.0, France,34.59301639097906,1930-1959
41,1954,Louison Bobet,4656.0,140.10138888888892,1.79,75.0, France,33.233075253040944,1930-1959
42,1955,Louison Bobet,4495.0,130.49055555555555,1.79,75.0, France,34.44693741139206,1930-1959
43,1956,Roger Walkowiak,4498.0,124.02111111111113,,, France,36.268018885673584,1930-1959
44,1957,Jacques Anquetil,4669.0,135.74499999999998,1.76,70.0, France,34.395373678588534,1930-1959
45,1958,Charly Gaul,4319.0,116.98472222222222,1.73,64.0, Luxembourg,36.91935081741443,1930-1959
46,1959,Federico Bahamontes,4358.0,123.77916666666668,,, Spain,35.20786346652304,1930-1959
47,1960,Gastone Nencini,4173.0,112.145,,, Italy,37.21075393463819,1960-1989
48,1961,Jacques Anquetil,4397.0,122.02583333333334,1.76,70.0, France,36.033353593159916,1960-1989
49,1962,Jacques Anquetil,4274.0,114.53166666666668,1.76,70.0, France,37.31719029671561,1960-1989
50,1963,Jacques Anquetil,4138.0,113.50138888888887,1.76,70.0, France,36.45770365022455,1960-1989
51,1964,Jacques Anquetil,4504.0,127.16222222222223,1.76,70.0, France,35.419324397532456,1960-1989
52,1965,Felice Gimondi,4188.0,116.70166666666668,1.81,71.0, Italy,35.886376944059634,1960-1989
53,1966,Lucien Aimar,4329.0,117.5725,,, France,36.81983457015884,1960-1989
54,1967,Roger Pingeon,4779.0,136.89722222222218,1.82,72.0, France,34.90940080758072,1960-1989
55,1968,Jan Janssen,4492.0,133.82833333333332,,, Netherlands,33.56538849521153,1960-1989
56,1969,Eddy Merckx,4117.0,116.26722222222222,1.82,74.0, Belgium,35.40980786597923,1960-1989
57,1970,Eddy Merckx,4254.0,119.53027777777778,1.82,74.0, Belgium,35.58930907789519,1960-1989
58,1971,Eddy Merckx,3608.0,96.75388888888891,1.82,74.0, Belgium,37.29049076408068,1960-1989
59,1972,Eddy Merckx,3846.0,108.28833333333333,1.82,74.0, Belgium,35.5162913825743,1960-1989
60,1973,Luis Ocaña,4090.0,122.42611111111113,1.65,52.0, Spain,33.4079059024264,1960-1989
61,1974,Eddy Merckx,4098.0,116.28277777777778,1.82,74.0, Belgium,35.24167618210397,1960-1989
62,1975,Bernard Thévenet,4000.0,114.59194444444445,,, France,34.90646763515954,1960-1989
63,1976,Lucien Van Impe,4017.0,116.37305555555555,,58.0, Belgium,34.518299625486044,1960-1989
64,1977,Bernard Thévenet,4096.0,115.64166666666668,,, France,35.419759313972754,1960-1989
65,1978,Bernard Hinault,3908.0,108.3,1.74,62.0, France,36.08494921514312,1960-1989
66,1979,Bernard Hinault,3765.0,103.11388888888888,1.74,62.0, France,36.5130249723876,1960-1989
67,1980,Joop Zoetemelk,3842.0,109.32055555555556,1.73,68.0, Netherlands,35.14435121990883,1960-1989
68,1981,Bernard Hinault,3753.0,96.32722222222222,1.74,62.0, France,38.96094907981475,1960-1989
69,1982,Bernard Hinault,3507.0,92.14611111111113,1.74,62.0, France,38.05912108185671,1960-1989
70,1983,Laurent Fignon,3809.0,105.13111111111112,1.74,67.0, France,36.23094971358515,1960-1989
71,1984,Laurent Fignon,4021.0,112.06111111111109,1.74,67.0, France,35.882207129046655,1960-1989
72,1985,Bernard Hinault,4109.0,113.40638888888891,1.74,62.0, France,36.23252658212965,1960-1989
73,1986,Greg LeMond,4094.0,110.58861111111109,1.78,67.0, United States,37.020086958924345,1960-1989
74,1987,Stephen Roche,4231.0,115.46166666666667,1.75,74.0, Ireland,36.64419648656841,1960-1989
75,1988,Pedro Delgado,3286.0,84.46472222222222,1.71,64.0, Spain,38.9038158600073,1960-1989
76,1989,Greg LeMond,3285.0,87.64305555555555,1.78,67.0, United States,37.48157773798393,1960-1989
77,1990,Greg LeMond,3504.0,90.72222222222223,1.78,67.0, United States,38.62339252908757,1990-2019
78,1991,Miguel Induráin,3914.0,101.02222222222224,1.86,80.0, Spain,38.74395072591288,1990-2019
79,1992,Miguel Induráin,3983.0,100.825,1.86,80.0, Spain,39.50409124721051,1990-2019
80,1993,Miguel Induráin,3714.0,95.9525,1.86,80.0, Spain,38.70665172871994,1990-2019
81,1994,Miguel Induráin,3978.0,103.64388888888891,1.86,80.0, Spain,38.38142357109546,1990-2019
82,1995,Miguel Induráin,3635.0,92.74972222222222,1.86,80.0, Spain,39.191492038011496,1990-2019
83,1996,Bjarne Riis,3765.0,95.95444444444445,1.84,71.0, Denmark,39.23736958510404,1990-2019
84,1997,Jan Ullrich,3950.0,100.50972222222221,1.83,73.0, Germany,39.29968079373195,1990-2019
85,1998,Marco Pantani,3875.0,92.82944444444445,1.72,57.0, Italy,41.743220841088494,1990-2019
86,1999,Lance Armstrong,3687.0,91.53777777777779,1.77,75.0, United States,40.278452126626526,1990-2019
87,2000,Lance Armstrong,3662.0,92.5522222222222,1.77,75.0, United States,39.566851147100145,1990-2019
88,2001,Lance Armstrong,3458.0,86.29111111111109,1.77,75.0, United States,40.073652494141285,1990-2019
89,2002,Lance Armstrong,3272.0,82.08666666666666,1.77,75.0, United States,39.86031024120848,1990-2019
90,2003,Lance Armstrong,3427.0,83.68666666666667,1.77,75.0, United States,40.95037042937943,1990-2019
91,2004,Lance Armstrong,3391.0,83.60055555555554,1.77,75.0, United States,40.56193140662277,1990-2019
92,2005,Lance Armstrong,3593.0,86.25055555555555,1.77,75.0, United States,41.65770268790539,1990-2019
93,2006,Óscar Pereiro,3657.0,89.67416666666666,1.77,68.0, Spain,40.780975568957984,1990-2019
94,2007,Alberto Contador,3570.0,91.00722222222224,1.76,62.0, Spain,39.22765592474345,1990-2019
95,2008,Carlos Sastre,3559.0,87.88111111111111,1.73,60.0, Spain,40.49789488323872,1990-2019
96,2009,Alberto Contador,3459.0,85.80972222222222,1.76,62.0, Spain,40.3101176699092,1990-2019
97,2010,Andy Schleck,3642.0,91.99083333333333,1.86,68.0, Luxembourg,39.59090126733642,1990-2019
98,2011,Cadel Evans,3430.0,86.20611111111111,1.74,64.0, Australia,39.78836251619181,1990-2019
99,2012,Bradley Wiggins,3496.0,87.57972222222222,1.9,69.0, Great Britain,39.91791605743339,1990-2019
100,2013,Chris Froome,3404.0,83.9388888888889,1.86,69.0, Great Britain,40.55331259514197,1990-2019
101,2014,Vincenzo Nibali,3660.5,89.985,1.8,65.0, Italy,40.6790020558982,1990-2019
102,2015,Chris Froome,3360.3,84.77055555555556,1.86,69.0, Great Britain,39.63994311441997,1990-2019
103,2016,Chris Froome,3529.0,89.08,1.86,69.0, Great Britain,39.61607543780871,1990-2019
104,2017,Chris Froome,3540.0,86.34861111111111,1.86,69.0, Great Britain,40.996606134693025,1990-2019
105,2018,Geraint Thomas,3349.0,83.28694444444444,1.83,71.0, Great Britain,40.21038378030437,1990-2019
106,2019,Egan Bernal,3349.0,82.95,1.75,60.0, Colombia,40.37371910789632,1990-2019
